"","Name","ID","Area","Hotel_Name","Total_rooms","Num_persons","TIKINA","ADM1_NAME","area","Area.1"
"23","Beach Cocomo Lodge, Navoto, Sovi Bay,Baravi",28,"SIGATOKA/ NADROGA (Group 5)","Beach Cocomo Lodge, Navoto, Sovi Bay,Baravi",3,10,"Baravi","Western Division",445408356.903944,"Coral Coast"
"24","Coral Lagoon Fiji Resort ,Naibale,Korolevu ",29,"SIGATOKA/ NADROGA (Group 5)","Coral Lagoon Fiji  Resort ,Naibale,Korolevu ",7,21,"Baravi","Western Division",445408356.903944,"Coral Coast"
"25","Fiji Hideaway Resort & Spa, Queens Rd; Sigatoka",30,"SIGATOKA/ NADROGA (Group 5)","Fiji Hideaway Resort  & Spa, Queens Rd; Sigatoka",116,344,"Baravi","Western Division",445408356.903944,"Coral Coast"
"27","Mango Bay Resort, Tadrawai, Nadroga",32,"SIGATOKA/ NADROGA (Group 5)","Mango Bay Resort, Tadrawai, Nadroga",24,111,"Baravi","Western Division",445408356.903944,"Coral Coast"
"28","Maui Bay Holiday Villas,Lot 5,Maui Bay Estate,Coral Coast",33,"SIGATOKA/ NADROGA (Group 5)","Maui Bay Holiday Villas,Lot 5,Maui Bay Estate,Coral Coast",4,8,"Baravi","Western Division",445408356.903944,"Coral Coast"
"29","Maui Palms (Fiji) Ltd, Lot 15 Maui Bay Estate",34,"SIGATOKA/ NADROGA (Group 5)","Maui Palms (Fiji) Ltd, Lot 15 Maui Bay Estate",11,30,"Baravi","Western Division",445408356.903944,"Coral Coast"
"32","Outrigger Fiji Beach Resort,Queens Rd; Korotogo Sigatoka",38,"SIGATOKA/ NADROGA (Group 5)","Outrigger  Fiji  Beach Resort,Queens Rd; Korotogo Sigatoka",252,678,"Baravi","Western Division",445408356.903944,"Coral Coast"
"34","Sandy Point Beach Cottages, Korotogo",40,"SIGATOKA/ NADROGA (Group 5)","Sandy Point Beach Cottages, Korotogo",5,22,"Baravi","Western Division",445408356.903944,"Coral Coast"
"36","Tambua Sands Beach Resort, Namada, Sgtka",43,"SIGATOKA/ NADROGA (Group 5)","Tambua Sands Beach Resort, Namada, Sgtka",25,91,"Baravi","Western Division",445408356.903944,"Coral Coast"
"37","The Beachouse, Korolevu, Nadroga",44,"SIGATOKA/ NADROGA (Group 5)","The Beachouse, Korolevu, Nadroga",23,90,"Baravi","Western Division",445408356.903944,"Coral Coast"
"38","The Crow’s Nest Resort, Korotogo",45,"SIGATOKA/ NADROGA (Group 5)","The Crow’s Nest Resort, Korotogo",34,125,"Baravi","Western Division",445408356.903944,"Coral Coast"
"39","The Naviti Resort, Korolevu, Baravi, Nadroga",46,"SIGATOKA/ NADROGA (Group 5)","The Naviti Resort, Korolevu, Baravi, Nadroga",220,960,"Baravi","Western Division",445408356.903944,"Coral Coast"
"40","Tubakula Beach Bungalows, Nadroga",47,"SIGATOKA/ NADROGA (Group 5)","Tubakula Beach Bungalows, Nadroga",60,165,"Baravi","Western Division",445408356.903944,"Coral Coast"
"41","Warwick Fiji Resort & Spa, Korolevu, Baravi",49,"SIGATOKA/ NADROGA (Group 5)","Warwick Fiji Resort & Spa, Korolevu, Baravi",247,746,"Baravi","Western Division",445408356.903944,"Coral Coast"
"145","Tubakula Beach Bungalows",NA,NA,NA,NA,NA,"Baravi","Western Division",445408356.903944,"Coral Coast"
"146","Bedarra Beach Inn",NA,NA,NA,NA,NA,"Baravi","Western Division",445408356.903944,"Coral Coast"
"147","Delana House",NA,NA,NA,NA,NA,"Baravi","Western Division",445408356.903944,"Coral Coast"
"148","Tubakula Beach Bungalows",NA,NA,NA,NA,NA,"Baravi","Western Division",445408356.903944,"Coral Coast"
"149","BackPackers Korotogo",NA,NA,NA,NA,NA,"Baravi","Western Division",445408356.903944,"Coral Coast"
"150","Casablanca Hotel Fiji",NA,NA,NA,NA,NA,"Baravi","Western Division",445408356.903944,"Coral Coast"
"155","Shambala holiday rental villa",NA,NA,NA,NA,NA,"Baravi","Western Division",445408356.903944,"Coral Coast"
"156","The Projects Collective",NA,NA,NA,NA,NA,"Baravi","Western Division",445408356.903944,"Coral Coast"
"164","Blue West Villas",NA,NA,NA,NA,NA,"Baravi","Western Division",445408356.903944,"Coral Coast"
"267","Swimming Pool",NA,NA,NA,NA,NA,"Baravi","Western Division",445408356.903944,"Coral Coast"
"127","Toberua Island Resort, opposite Kaba Point , Tailevu ,Toberua Island",147,"DEUBA / PACIFIC HARBOUR / BEQA / LAU / SUVA / NAUSORI / TAILEVU  (Group 9)","Toberua Island Resort, opposite Kaba Point , Tailevu ,Toberua Island",15,60,"Bau","Central Division",97956390.820049,"Others"
"193","Classixx Inn",NA,NA,NA,NA,NA,"Bau","Central Division",97956390.820049,"Others"
"114","Beqa Lagoon Resort, Rukua, Beqa Island",134,"DEUBA / PACIFIC HARBOUR / BEQA / LAU / SUVA / NAUSORI / TAILEVU  (Group 9)","Beqa Lagoon Resort, Rukua, Beqa Island",25,75,"Beqa","Central Division",37149900.2168582,"Others"
"118","Lalati Resort & Spa, Beqa Island",138,"DEUBA / PACIFIC HARBOUR / BEQA / LAU / SUVA / NAUSORI / TAILEVU  (Group 9)","Lalati Resort & Spa, Beqa Island",16,42,"Beqa","Central Division",37149900.2168582,"Others"
"119","Lawaki Beach House, Beqa Island",139,"DEUBA / PACIFIC HARBOUR / BEQA / LAU / SUVA / NAUSORI / TAILEVU  (Group 9)","Lawaki Beach House, Beqa Island",4,14,"Beqa","Central Division",37149900.2168582,"Others"
"4","Aroha Taveuni,Naiyalayala,Taveuni",5,"TAVEUNI/ ISLANDS OFF TAVEUNI (Group 2)","Aroha Taveuni,Naiyalayala,Taveuni",6,13,"Cakaudrove","Northern  Division",507412343.313668,"Northern Division"
"6","Dolphin Bay Divers Retreat,Matei",7,"TAVEUNI/ ISLANDS OFF TAVEUNI (Group 2)","Dolphin Bay Divers Retreat,Matei",2,4,"Cakaudrove","Northern  Division",507412343.313668,"Northern Division"
"7","Garden Island Resort, Waiyevo",8,"TAVEUNI/ ISLANDS OFF TAVEUNI (Group 2)","Garden Island Resort, Waiyevo",30,60,"Cakaudrove","Northern  Division",507412343.313668,"Northern Division"
"11","Nakia Resort & Dive Ltd, Nakia, Vatulaqa",12,"TAVEUNI/ ISLANDS OFF TAVEUNI (Group 2)","Nakia Resort & Dive Ltd,  Nakia, Vatulaqa",4,8,"Cakaudrove","Northern  Division",507412343.313668,"Northern Division"
"12","Paradise Taveuni , Navaca Settlement, Vuna",13,"TAVEUNI/ ISLANDS OFF TAVEUNI (Group 2)","Paradise Taveuni , Navaca Settlement, Vuna",16,32,"Cakaudrove","Northern  Division",507412343.313668,"Northern Division"
"13","Taveuni Dive Resort, Soqulu, Taveuni",15,"TAVEUNI/ ISLANDS OFF TAVEUNI (Group 2)","Taveuni Dive Resort, Soqulu, Taveuni",8,24,"Cakaudrove","Northern  Division",507412343.313668,"Northern Division"
"16","Vatuvara Private Islands,off Yacata Island",19,"TAVEUNI/ ISLANDS OFF TAVEUNI (Group 2)","Vatuvara Private Islands,off Yacata Island",5,20,"Cakaudrove","Northern  Division",507412343.313668,"Northern Division"
"30","Myola Plantation Resort, Lot 5, Malaqereqere, Sigatoka",35,"SIGATOKA/ NADROGA (Group 5)","Myola  Plantation  Resort, Lot 5, Malaqereqere, Sigatoka",2,4,"Cuvu","Western Division",132789236.627154,"Coral Coast"
"31","Namuka Bay Resort, Naidiri,Sigatoka",36,"SIGATOKA/ NADROGA (Group 5)","Namuka Bay Resort, Naidiri,Sigatoka",10,25,"Cuvu","Western Division",132789236.627154,"Coral Coast"
"35","Shangri-La’s Fijian Resort & Spa, Yanuca Island, Cuvu",42,"SIGATOKA/ NADROGA (Group 5)","Shangri-La’s Fijian Resort & Spa, Yanuca Island, Cuvu",442,1814,"Cuvu","Western Division",132789236.627154,"Coral Coast"
"182","Yadua Bay Resort & Villas",NA,NA,NA,NA,NA,"Cuvu","Western Division",132789236.627154,"Coral Coast"
"183","Yadua Bay Resort",NA,NA,NA,NA,NA,"Cuvu","Western Division",132789236.627154,"Coral Coast"
