"","TIKINA","Area.1","MAIN_BAS","Tik_rooms","Tik_visitors","Total_rooms","Total_persons","Prop_rooms","Prop_visitors","Num_hotels","Total_hotels","Prop_hotels"
"1","Baravi","Coral Coast",5120081550,1067,3401,1880,6362,0.567553191489362,0.534580320653882,21,29,0.724137931034483
"2","Bau","Others",5120081740,15,60,1041,2740,0.0144092219020173,0.0218978102189781,1,57,0.0175438596491228
"3","Bau","Others",5120081750,0,0,1041,2740,0,0,1,57,0.0175438596491228
"4","Beqa","Others",5120081790,45,131,1041,2740,0.0432276657060519,0.0478102189781022,3,57,0.0526315789473684
"5","Cakaudrove","Northern Division",5120082200,2,4,297,538,0.00673400673400673,0.00743494423791822,1,19,0.0526315789473684
"6","Cakaudrove","Northern Division",5120082240,30,69,297,538,0.101010101010101,0.128252788104089,3,19,0.157894736842105
"7","Cuvu","Coral Coast",5120081570,454,1843,1880,6362,0.241489361702128,0.289688777114115,4,29,0.137931034482759
"8","Labasa","Northern Division",5120082090,67,0,297,538,0.225589225589226,0,2,19,0.105263157894737
"9","LomaiOther","Others",5120081880,14,28,1041,2740,0.0134486071085495,0.0102189781021898,1,57,0.0175438596491228
"10","Macuata","Northern Division",5120082060,7,14,297,538,0.0235690235690236,0.0260223048327138,1,19,0.0526315789473684
"11","Malolo","Mamanuca",5120081600,815,3102,815,3102,1,1,16,16,1
"12","Malomalo","Coral Coast",5120081570,326,1001,1880,6362,0.173404255319149,0.157340458975165,2,29,0.0689655172413793
"13","Malomalo","Coral Coast",5120081590,33,117,1880,6362,0.0175531914893617,0.0183904432568375,2,29,0.0689655172413793
"14","Nadi","Nadi",5120081590,160,430,2681,4837,0.0596792241700858,0.0888980773206533,2,63,0.0317460317460317
"15","Nadi","Nadi",5120081610,818,81,2681,4837,0.305110033569564,0.0167459168906347,29,63,0.46031746031746
"16","Nadi","Nadi",5120081620,1422,3980,2681,4837,0.530399104811637,0.822824064502791,23,63,0.365079365079365
"17","Nadi","Nadi",5120081630,281,346,2681,4837,0.104811637448713,0.071531941285921,8,63,0.126984126984127
"18","Nadi","Nadi",NA,0,0,2681,4837,0,0,1,63,0.0158730158730159
"19","Naitasiri","Others",5120081760,22,0,1041,2740,0.021133525456292,0,1,57,0.0175438596491228
"20","Nakasaleka","Others",5120081840,32,16,1041,2740,0.0307396733909702,0.00583941605839416,2,57,0.0350877192982456
"21","Nasavusavu","Northern Division",5120082210,188,451,297,538,0.632996632996633,0.838289962825279,11,19,0.578947368421053
"22","Naviti","Others",5120081800,99,396,1041,2740,0.0951008645533141,0.144525547445255,6,57,0.105263157894737
"23","Nuku","Others",5120081780,28,60,1041,2740,0.0268972142170989,0.0218978102189781,1,57,0.0175438596491228
"24","Ovalau","Others",5120081720,21,100,1041,2740,0.0201729106628242,0.0364963503649635,1,57,0.0175438596491228
"25","Rakiraki","Others",5120081680,21,64,1041,2740,0.0201729106628242,0.0233576642335766,1,57,0.0175438596491228
"26","Rakiraki","Others",5120081690,36,0,1041,2740,0.0345821325648415,0,1,57,0.0175438596491228
"27","Rakiraki","Others",5120081700,116,301,1041,2740,0.111431316042267,0.10985401459854,11,57,0.192982456140351
"28","Sawakasa","Others",5120081710,2,10,1041,2740,0.00192122958693564,0.00364963503649635,1,57,0.0175438596491228
"29","Sawakasa","Others",5120081720,17,70,1041,2740,0.0163304514889529,0.0255474452554745,1,57,0.0175438596491228
"30","Serua","Others",5120081780,391,961,1041,2740,0.375600384245917,0.350729927007299,6,57,0.105263157894737
"31","Suva","Suva",5120081760,591,0,591,NA,1,NA,17,17,1
"32","Tavua","Others",5120081650,3,18,1041,2740,0.00288184438040346,0.00656934306569343,1,57,0.0175438596491228
"33","Tavua","Others",5120081660,7,18,1041,2740,0.00672430355427474,0.00656934306569343,1,57,0.0175438596491228
"34","Tavuki","Others",5120081840,32,77,1041,2740,0.0307396733909702,0.0281021897810219,3,57,0.0526315789473684
"35","Vuda","Lautoka",5120081600,91,200,293,734,0.310580204778157,0.272479564032698,3,15,0.2
"36","Vuda","Lautoka",5120081640,186,467,293,734,0.63481228668942,0.636239782016349,10,15,0.666666666666667
"37","Vuda","Lautoka",5120081800,16,67,293,734,0.0546075085324232,0.0912806539509537,2,15,0.133333333333333
"38","Wailevu","Northern Division",5120082210,3,0,297,538,0.0101010101010101,0,1,19,0.0526315789473684
"39","Wainimala","Others",5120081750,1,0,1041,2740,0.000960614793467819,0,1,57,0.0175438596491228
"40","Yasawa","Others",5120081810,139,430,1041,2740,0.133525456292027,0.156934306569343,13,57,0.228070175438596
